contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
645363,human,-0.005577225287119569,0.7765075435335996,0.29421487603305785,-438,-270,-104,-1,259,H,24.0,839
646677,human,-0.09627471101397789,0.7879965391571704,0.9186046511627907,83,406,564,1,300,H,24.0,883
646795,human,-1.5574676809139723,1.9376769234228473,0.959,93,280,757,1,299,2H,12.0,505
648358,human,0.014336549228275097,3.136663373072676,0.9209302325581395,163,117,74,1,298,H,24.0,813
656549,human,0.031982755634491156,1.1987152296958863,0.9221014492753623,-74,-71,125,1,290,2H,12.0,468
658766,human,-0.011989904923759287,1.1579097726740997,0.8626692456479691,24,165,157,1,288,2H,12.0,458
658938,human,-6.815940837405711,2.841248306687343,0.9766233766233766,240,554,1424,1,299,H,24.0,721
664498,human,0.013705309180066627,1.7206311251546875,0.8681318681318682,-29,-72,25,1,299,2H,12.0,495
664693,human,-0.14642205452602552,0.7513508600611131,0.8162230671736375,109,179,252,1,300,H,24.0,477
668867,human,0.03628129591830764,0.7482143954730435,0.41810344827586204,-64,18,-22,-1,296,H,24.0,634
669693,human,0.0036839062754384644,1.7239838345145204,0.30939226519337015,-164,-75,-1,-1,299,H,24.0,493
673338,human,-0.3286317640475791,0.9907065383111958,0.3556547619047619,-396,-102,-1,-1,300,30T,48.0,463
674548,human,-1.7247946939937062,4.315860770734364,0.013029315960912053,-245,-79,-28,-1,280,H,24.0,895
689788,human,0.07539916976876437,1.3082612791805124,0.8869346733668342,37,36,90,1,300,4H,6.0,385
733774,human,-1.0128411546048643,1.250629439611939,0.8735320686540199,-1,288,959,1,300,30T,48.0,368
735987,human,-0.01721457918585312,1.163739196806742,0.54858934169279,-189,-148,-2,-1,295,H,24.0,784
743485,human,-3.8787618462116713,3.9442433930182976,0.9787472035794184,526,735,813,1,300,H,24.0,553
744346,human,-0.2562085557380336,1.4480981149583851,0.2238372093023256,-175,-93,-1,-1,299,4H,6.0,384
748599,human,-0.6941105727779986,0.9553957907744642,0.15305164319248826,-803,-274,-1,-1,299,2H,12.0,575
754548,human,-2.7332336255648184,2.7358426202845045,0.09183673469387756,-161,-106,-1,-1,299,30T,48.0,345
754564,human,-0.39904550123596394,1.634764547457308,0.9068219633943427,85,200,363,1,297,H,24.0,453
755587,human,-0.06422899986323061,0.7931518226651645,0.26429479034307496,-594,-408,-23,-1,298,H,24.0,579
757389,human,-118.52946155573672,62.1044060971762,0.9928057553956835,34,42,94,1,286,30T,48.0,333
758333,human,-20.813706532424515,4.212474232841269,0.044657097288676235,-759,-563,-2,-1,298,H,24.0,635
763394,human,-6.130995054893318,2.841367435800755,0.9764942914707858,157,731,1342,1,300,H,24.0,767
767954,human,-0.1783818723888806,0.9344259186040168,0.9206510681586979,118,172,544,1,299,H,24.0,791
769343,human,-0.3222640689037326,1.4204592318204412,0.9252336448598131,119,348,503,1,295,H,24.0,674
769399,human,-0.031597749302887834,0.6984290916380209,0.8234552332912989,148,237,210,1,297,H,24.0,642
773356,human,-0.4328634407763696,1.142425938823979,0.16219839142091153,-506,-192,-1,-1,298,H,24.0,815
